mouse_life_stage,E18.5
parameter_id,IMPC_CBC_028_001
gene_accession_id,MGI:1917933
parameter_name,Creatine kinase
analysis_id,7679dt9kr28o168
gene_symbol,Utp20
mouse_strain,C57BL
pvalue,0.6416528
