mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.143771
parameter_id,impc_abr_012_001
gene_accession_id,MGI:2155959
analysis_id,n0u5lu4612itzb3
mouse_life_stage,Early adult
gene_symbol,Lnx2
