pvalue,0.05342454
mouse_life_stage,Early adult
gene_accession_id,MGI:1931415
parameter_id,IMPC_EYE_019_001
parameter_name,Synechia
gene_symbol,Mynn
analysis_id,z19ybom847rd638
mouse_strain,C57BL
