gene_symbol,Mpv17l2
mouse_strain,C57BL
analysis_id,n0y77781f8n4m28
gene_accession_id,MGI:2681846
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_028_001
parameter_name,Creatine kinase
pvalue,0.8690984
