gene_symbol,Rxylt1
pvalue,0.2231457
parameter_name,Total cholesterol
mouse_strain,C57BL
parameter_id,GMC_906_001_017
gene_accession_id,MGI:2384919
analysis_id,xp5o8t5s15l03zh
mouse_life_stage,Early adult
