parameter_id,JAXLA_IPG_010_001
pvalue,0.6510638
parameter_name,Fasted blood glucose concentration
analysis_id,9i22aa40j66nu67
mouse_strain,C57BL
gene_symbol,Pom121
gene_accession_id,MGI:2137624
mouse_life_stage,E9.5
