analysis_id,69a517847gsa90q
pvalue,0.9896741
mouse_life_stage,Early adult
parameter_name,Hemoglobin
gene_symbol,Tmem260
gene_accession_id,MGI:2443219
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
