pvalue,0.1813534
gene_symbol,Pom121
gene_accession_id,MGI:2137624
analysis_id,4s199ve7d5xfr04
parameter_name,Fusion of vertebrae
parameter_id,IMPC_XRY_019_001
mouse_life_stage,E12.5
mouse_strain,C57BL
