gene_symbol,Anxa3
mouse_life_stage,Early adult
pvalue,0.3544199
gene_accession_id,MGI:1201378
analysis_id,1cx3z5ayb58awm8
parameter_name,Side changes
parameter_id,JAX_LDT_001_001
mouse_strain,C57BL
