Mouse_strain,C57BL
Gene_accession_id,MGI:2143698
Analysis_id,95d8i27xsie1e72
Parameter_id,IMPC_DXA_008_001
gene_symbol,Vezt
Parameter_name,Lean/Body weight
Mouse_life_stage,E9.5
Pvalue,0.9464853
