pvalue,0.884126
gene_symbol,Hrnr
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
analysis_id,e6ds97ub7n5zka5
