mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9011904
gene_symbol,Zfp652
gene_accession_id,MGI:2442221
parameter_id,GMC_906_001_017
parameter_name,Total cholesterol
analysis_id,9aat21878e1jezz
