parameter_id,JAXLA_CSD_036_001
analysis_id,ufit8eb600nu9op
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.9171455
gene_accession_id,MGI:109186
gene_symbol,Ncf4
mouse_life_stage,Early adult
