mouse_life_stage,Early adult
gene_accession_id,MGI:3643383
pvalue,0.3883947
analysis_id,9eu81kxop76f897
mouse_strain,C57BL
parameter_id,IMPC_CSD_007_001
gene_symbol,Calhm1
parameter_name,Coat - color - abdomen
