mouse_life_stage,Early adult
gene_accession_id,MGI:105959
parameter_name,Eye Hemorrhage or Blood Presence
analysis_id,e6adxy9gix06c21
mouse_strain,C57BL
pvalue,0.6330986
gene_symbol,Cox8a
parameter_id,IMPC_EYE_003_001
