mouse_strain,C57BL
parameter_id,IMPC_HEM_005_001
parameter_name,Mean cell volume
mouse_life_stage,Early adult
gene_symbol,Vil1
analysis_id,h8o3334b0ufxy23
gene_accession_id,MGI:98930
pvalue,0.694351
