parameter_id,IMPC_ACS_035_001
pvalue,0.3191782
mouse_life_stage,E9.5
analysis_id,311wvx64ogv579v
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:1859866
mouse_strain,C57BL
gene_symbol,Cdc20
