pvalue,0.07255026
parameter_id,GMC_905_001_010
parameter_name,Mean platelets volume
mouse_life_stage,NA
gene_symbol,Mturn
mouse_strain,C57BL
analysis_id,ksz3t99d4l04xb9
gene_accession_id,MGI:1915485
