parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_symbol,Lnx2
pvalue,0.8672385
parameter_id,IMPC_ABR_004_001
gene_accession_id,MGI:2155959
mouse_life_stage,Early adult
analysis_id,6sa20ceh4mp16k0
