parameter_name,Respiratory Exchange Ratio
gene_accession_id,MGI:1315201
parameter_id,IMPC_CAL_017_001
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Grcc10
analysis_id,9hzb4vh9440980e
pvalue,0.2438575
