parameter_name,Periphery average speed
mouse_strain,C57BL
analysis_id,67f420432s7351s
gene_symbol,Cdk4
gene_accession_id,MGI:88357
pvalue,0.9448174
parameter_id,JAXLA_OFD_013_001
mouse_life_stage,E15.5
