parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
analysis_id,1b269809150bo5x
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.9793537
gene_symbol,Pgap6
gene_accession_id,MGI:1926283
