gene_accession_id,MGI:2444785
gene_symbol,Dcaf5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
pvalue,0.9337375
parameter_name,12kHz-evoked ABR Threshold
analysis_id,o377526n02x728x
