analysis_id,p86kx4duj9s7i63
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
pvalue,0.8552323
mouse_strain,C57BL
gene_accession_id,MGI:2654703
gene_symbol,Otud7b
