pvalue,0.6762294
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1918830
parameter_name,Absolute number of granulocytes
parameter_id,GMC_905_001_013
analysis_id,7fm4473zes9u7h3
gene_symbol,Mtrf1l
