pvalue,0.4670524
gene_accession_id,MGI:96669
analysis_id,o2zo9191dst58f6
parameter_name,Center average speed
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
gene_symbol,Kcnc3
