parameter_id,GMC_912_001_008
gene_symbol,Helq
gene_accession_id,MGI:2176740
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,B-Wave 12500 Cd/mÂ² right eye
analysis_id,23ffw43ag5286o6
pvalue,0.7692929
