gene_accession_id,MGI:1921004
gene_symbol,Thap1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
pvalue,0.8606024
parameter_name,Fat/Body weight
analysis_id,jd1p2khx0481eqo
