mouse_life_stage,E9.5
pvalue,0.5318768
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:1921004
parameter_name,Retina (combined)
gene_symbol,Thap1
mouse_strain,C57BL
analysis_id,7ovix539wq8x743
