analysis_id,si7bokc4966x8l3
mouse_life_stage,E9.5
gene_accession_id,MGI:2384919
gene_symbol,Rxylt1
mouse_strain,C57BL
pvalue,0.2879719
parameter_name,Coat - color pattern - back
parameter_id,IMPC_CSD_008_001
