mouse_life_stage,Late adult
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Mindy2
gene_accession_id,mgi:2443086
analysis_id,t5u92tv2040mk1j
parameter_id,IMPC_EYE_026_001
pvalue,0.8660037
mouse_strain,C57BL
