gene_symbol,Tas2r103
parameter_id,IMPC_DXA_003_001
pvalue,0.8086645
parameter_name,Lean mass
analysis_id,3tnkz8q297kk7ix
mouse_strain,C57BL
gene_accession_id,MGI:1890257
mouse_life_stage,Early adult
