mouse_strain,C57BL
pvalue,0.222721
gene_accession_id,MGI:96669
gene_symbol,Kcnc3
mouse_life_stage,Middle aged adult
parameter_name,Body length
analysis_id,35539s4k5212q82
parameter_id,IMPC_DXA_006_001
