analysis_id,3y4vdr227156tfa
pvalue,0.1827202
gene_accession_id,MGI:1918359
parameter_id,CCP_XRY_033_001
mouse_strain,C57BL
gene_symbol,Flacc1
parameter_name,Tibia length
mouse_life_stage,Early adult
