mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) differential count
pvalue,0.256612
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_040_001
analysis_id,0bpu02056s89jd4
gene_symbol,Abcg2
gene_accession_id,MGI:1347061
