parameter_name,Total food intake
pvalue,0.188798
mouse_life_stage,Early adult
gene_accession_id,MGI:105959
analysis_id,p94nwy92ukz5rto
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
gene_symbol,Cox8a
