pvalue,0.9157127
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,jc7ajp73412o3xd
gene_symbol,Baat
parameter_name,MIF-rest
parameter_id,GMC_920_001_024
gene_accession_id,MGI:106642
