parameter_name,Glucose
gene_symbol,Mturn
parameter_id,JAX_PLC_004_001
gene_accession_id,MGI:1915485
mouse_strain,C57BL
mouse_life_stage,NA
analysis_id,2191464ceu4rcna
pvalue,0.07002362
