analysis_id,2263f46h884v9k4
mouse_strain,C57BL
gene_accession_id,MGI:1932386
pvalue,0.5034472
mouse_life_stage,Early adult
gene_symbol,Ift122
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
