gene_accession_id,MGI:1315201
gene_symbol,GRCC10
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,JAXLA_OFD_021_001
pvalue,0.07181849
parameter_name,Number of rears - total
analysis_id,i711syn72tngktt
