parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:1916340
mouse_life_stage,Early adult
pvalue,0.9801671
mouse_strain,C57BL
parameter_name,Number of rears - total
analysis_id,5gq1vi0656qh3k9
gene_symbol,Ascc1
