mouse_strain,C57BL
analysis_id,geh6w8d1u8vn690
pvalue,0.6482574
parameter_name,Shape of spine
gene_accession_id,MGI:2137624
parameter_id,IMPC_XRY_055_001
mouse_life_stage,E12.5
gene_symbol,Pom121
