gene_accession_id,MGI:3588207
gene_symbol,Dnaaf3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
pvalue,0.5604567
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,9zwi785jxd1ut87
