mouse_strain,C57BL
gene_symbol,Mpv17l2
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:2681846
analysis_id,cf00ty0v53h4h2t
mouse_life_stage,Early adult
pvalue,0.2990542
parameter_id,IMPC_HEM_039_001
