mouse_life_stage,Early adult
parameter_name,Polysyndactylism
gene_symbol,Ascc1
analysis_id,779f46443wq3884
parameter_id,CCP_XRY_062_001
mouse_strain,C57BL
pvalue,0.6333734
gene_accession_id,MGI:1916340
