parameter_name,Body length
mouse_life_stage,Early adult
analysis_id,6c10zjkkm781gn2
pvalue,0.9189193
gene_accession_id,MGI:2684789
parameter_id,IMPC_DXA_006_001
gene_symbol,Lrsam1
mouse_strain,C57BL
