mouse_life_stage,E18.5
gene_accession_id,MGI:1916340
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
gene_symbol,Ascc1
analysis_id,25d8716rz84dd29
pvalue,0.2815576
mouse_strain,C57BL
