pvalue,0.6225258
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
mouse_strain,129SV
analysis_id,62j712g43xm031j
parameter_name,Lean mass
gene_accession_id,MGI:2442978
gene_symbol,Ogfod1
