pvalue,0.2047591
gene_accession_id,mgi:1916340
gene_symbol,Ascc1
parameter_name,Fusion of vertebrae
mouse_strain,C57BL
analysis_id,692127d4541j4yd
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_019_001
