analysis_id,q1hs5bop455z2q5
gene_symbol,Kcnc3
pvalue,0.2910233
parameter_id,IMPC_IMM_011_001
mouse_strain,C57BL
parameter_name,CD4 NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:96669
