gene_accession_id,MGI:1347061
gene_symbol,Abcg2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_005_001
pvalue,0.8787599
parameter_name,Bone Mineral Content (excluding skull)
analysis_id,z11g98v0n467nwm
