gene_symbol,Padi1
pvalue,1.092638
gene_accession_id,MGI:1338893
mouse_strain,C57BL
parameter_id,IMPC_HEM_001_001
parameter_name,White blood cell count
analysis_id,qr360ym5m91qnfx
mouse_life_stage,Early adult
