gene_symbol,Cdk4
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:88357
mouse_life_stage,E12.5
analysis_id,g63w8249n2565m7
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.851931
