gene_symbol,Pnma3
gene_accession_id,MGI:2180565
parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
pvalue,0.281778
analysis_id,580vhq2022d948o
mouse_life_stage,Late adult
