parameter_name,LVAWs
analysis_id,l2sk8auch9lhhdj
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_010_001
pvalue,0.5866386
gene_accession_id,MGI:2685508
mouse_strain,C57BL
gene_symbol,A830031A19RIK
