gene_accession_id,MGI:1916340
gene_symbol,Ascc1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
pvalue,0.3024282
parameter_name,Vocalization
analysis_id,5nt2q5lu54h4spu
