gene_symbol,Cdca7l
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_accession_id,MGI:2384982
analysis_id,18h1fp2l9prx73o
mouse_strain,C57BL
pvalue,0.377128
parameter_id,IMPC_CBC_014_001
