pvalue,0.6842228
analysis_id,9o2ss5y2kdi7380
parameter_id,IMPC_EYE_062_001
gene_symbol,Zmat4
parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2443497
