parameter_id,JAXLA_OFD_020_001
pvalue,0.7015466
gene_symbol,Uqcrb
gene_accession_id,MGI:1914780
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
analysis_id,9qr84t27v6p40ut
mouse_strain,C57BL
