gene_accession_id,MGI:2384982
gene_symbol,Cdca7l
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,JAXLA_OFD_013_001
pvalue,0.1016396
parameter_name,Periphery average speed
analysis_id,26wsq2bbs3v9n5j
