parameter_name,Haematocrit
analysis_id,mn5cy98w12ibdyv
pvalue,0.9994444
mouse_strain,C57BL
parameter_id,ESLIM_016_001_004
gene_accession_id,MGI:2143698
gene_symbol,Vezt
mouse_life_stage,E9.5
