analysis_id,sp73usatt1b4vq1
pvalue,0.1559854
gene_accession_id,MGI:98930
parameter_name,Fusion of vertebrae
parameter_id,IMPC_XRY_019_001
gene_symbol,Vil1
mouse_strain,C57BL
mouse_life_stage,Early adult
