parameter_name,Tibia length
mouse_life_stage,E12.5
pvalue,0.6122747
gene_accession_id,MGI:1921004
gene_symbol,Thap1
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
analysis_id,5ed702tjg01182g
