gene_accession_id,MGI:108398
gene_symbol,Mlx
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,JAXLA_DXA_008_001
pvalue,0.5926666
parameter_name,Lean/Body weight
analysis_id,2tr6314pq3fqfpp
